player,position,espn_proj_pts,actual_pts
Steve Smith Sr.,WR,104.8,113.9
Josh Gordon,WR,103.8,0
Corey Coleman,WR,103.2,60.3
Mike Wallace,WR,100.2,130.8
Pierre Garcon,WR,100.1,122.1
Phillip Dorsett,WR,97.2,65.8
Terrance Williams,WR,96.9,81.4
Devin Funchess,WR,96.8,63.1
Chris Hogan,WR,95.7,90.9
Kenny Stills,WR,94.1,126.6
Kenny Britt,WR,92.7,128.2
Markus Wheaton,WR,91.9,13.1
Anquan Boldin,WR,90.2,106.4
Tajae Sharpe,WR,89.2,64.3
Tyler Boyd,WR,88.5,70.1
Rishard Matthews,WR,83.6,146.5
Kamar Aiken,WR,83,38.8
Eli Rogers,WR,82.5,78
Ted Ginn Jr.,WR,80.9,105
Terrelle Pryor Sr.,WR,80.2,136.4
Robert Woods,WR,79.6,67.9
Quinton Patton,WR,76.4,40.8
Jermaine Kearse,WR,74.8,57.1
Braxton Miller,WR,72.7,15.9
Laquon Treadwell,WR,69.7,1.5
Jamison Crowder,WR,69.3,130.5
Chris Conley,WR,68.7,53
Victor Cruz,WR,68.2,62.6
Breshad Perriman,WR,65,68.1
Cole Beasley,WR,64.8,114
Kendall Wright,WR,61.4,61.1
Tyrell Williams,WR,61.4,147.9
Seth Roberts,WR,59.6,73.7
Josh Doctson,WR,58.1,6.6
Marqise Lee,WR,57.8,115.4
Davante Adams,WR,57.2,171.7
Eddie Royal,WR,56.7,54.9
Quincy Enunwa,WR,55.7,110.9
Jaelen Strong,WR,54.3,13.1
Dorial Green-Beckham,WR,53.6,51.2
Jeremy Kerley,WR,52.6,82.7
Brandon LaFell,WR,49.1,122
Rob Gronkowski,TE,168.3,72
Jordan Reed,TE,142.4,102.6
Greg Olsen,TE,134.6,127.3
Delanie Walker,TE,124.8,123.1
Coby Fleener,TE,120.8,87.3
Travis Kelce,TE,116.7,138
Gary Barnidge,TE,116.4,75.2
Jason Witten,TE,107.3,83.3
Julius Thomas,TE,106.3,52.1
Antonio Gates,TE,106.3,94.8
Zach Ertz,TE,104.2,105.6
Zach Miller,TE,96.2,72.6
Jimmy Graham,TE,92.6,124.3
Eric Ebron,TE,91.1,83.2
Clive Walford,TE,90.7,53.9
Jared Cook,TE,90.5,41.7
Martellus Bennett,TE,88.5,113.1
Charles Clay,TE,87.9,79.2
Dwayne Allen,TE,86.9,78.6
Tyler Eifert,TE,86.4,69.4
Jordan Cameron,TE,78.2,12
Kyle Rudolph,TE,76.8,126
Larry Donnell,TE,72.8,13.2
Vance McDonald,TE,66.9,63.1
Austin Seferian-Jenkins,TE,64.9,21.4
Virgil Green,TE,58.6,29.7
Jacob Tamme,TE,58,39
Crockett Gillmore,TE,52.6,13.1
Ladarius Green,TE,49.9,36.4
Maxx Williams,TE,49.4,0
Josh Hill,TE,47.6,20.9
Will Tye,TE,45.1,45.5
Austin Hooper,TE,42.9,45.1
Jesse James,TE,42.3,51.8
Cameron Brate,TE,42.3,114
Cam Newton,QB,337.1,253.3
Aaron Rodgers,QB,312.1,378.7
Russell Wilson,QB,306.1,266.7
Andrew Luck,QB,295.9,306.7
Drew Brees,QB,291.6,331.2
Ben Roethlisberger,QB,283.4,251
Kirk Cousins,QB,283,299
Matthew Stafford,QB,281.4,278.9
Eli Manning,QB,274.2,223.1
Philip Rivers,QB,269.4,257.9
Tyrod Taylor,QB,268.3,269.4
Carson Palmer,QB,265.2,241.8
Andy Dalton,QB,264.4,259.2
Blake Bortles,QB,263.3,269.1
Ryan Fitzpatrick,QB,262.2,132.2
Alex Smith,QB,261.5,222.3
Jameis Winston,QB,260.9,254.9
Derek Carr,QB,255.2,267.2
Ryan Tannehill,QB,251.8,189.2
Brock Osweiler,QB,247.4,166.5
Joe Flacco,QB,244.3,241
Matt Ryan,QB,243.4,346.1
Robert Griffin III,QB,240.1,66
Marcus Mariota,QB,235.8,258.7
Tom Brady,QB,232.8,257.8
Jay Cutler,QB,222.9,46.4
Carson Wentz,QB,222.7,211.5
Blaine Gabbert,QB,197.3,72.3
Sam Bradford,QB,185,219.6
Tony Romo,QB,159.6,5
Trevor Siemian,QB,133.1,190.5
Dak Prescott,QB,106.9,285.6
Case Keenum,QB,105.2,110.7
Jimmy Garoppolo,QB,68,34.7
Paxton Lynch,QB,66.2,28.1
Jared Goff,QB,48.2,52.8
Colin Kaepernick,QB,29.1,199.6
Shaun Hill,QB,18.5,10.1
Chase Daniel,QB,17.3,0.6
Geno Smith,QB,17.2,7.9
Broncos,D/ST,141.5,144
Bengals,D/ST,123.1,79
Panthers,D/ST,122.7,101
Packers,D/ST,121,75
Cardinals,D/ST,120.1,143
Seahawks,D/ST,117.7,113
Jets,D/ST,116.3,43
Bills,D/ST,114.3,81
Raiders,D/ST,113.6,74
Chiefs,D/ST,113.4,138
Texans,D/ST,113.4,102
Rams,D/ST,112,72
Buccaneers,D/ST,103,108
Ravens,D/ST,100.3,116
Lions,D/ST,97.2,69
